id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_komoditas,produksi_sayuran,satuan,tahun
220,32,JAWA BARAT,3209,KABUPATEN CIREBON,KANGKUNG,329.0,TON,2013
221,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMBANG KOL,0.0,TON,2013
222,32,JAWA BARAT,3209,KABUPATEN CIREBON,KENTANG,0.0,TON,2013
223,32,JAWA BARAT,3209,KABUPATEN CIREBON,KETIMUN,1060.0,TON,2013
224,32,JAWA BARAT,3209,KABUPATEN CIREBON,KUBIS,0.0,TON,2013
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,LABU SIAM,0.0,TON,2013
226,32,JAWA BARAT,3209,KABUPATEN CIREBON,LOBAK,0.0,TON,2013
227,32,JAWA BARAT,3209,KABUPATEN CIREBON,MELON,30.0,TON,2013
228,32,JAWA BARAT,3209,KABUPATEN CIREBON,PAPRIKA,0.0,TON,2013
229,32,JAWA BARAT,3209,KABUPATEN CIREBON,PETSAI/SAWI,0.0,TON,2013
230,32,JAWA BARAT,3209,KABUPATEN CIREBON,SEMANGKA,695.0,TON,2013
231,32,JAWA BARAT,3209,KABUPATEN CIREBON,STROBERI,0.0,TON,2013
232,32,JAWA BARAT,3209,KABUPATEN CIREBON,TERUNG,1118.0,TON,2013
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,TOMAT,6.0,TON,2013
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,WORTEL,0.0,TON,2013
235,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAWANG DAUN,7911.0,TON,2013
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAWANG MERAH,23683.0,TON,2013
237,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAWANG PUTIH,0.0,TON,2013
238,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYAM,0.0,TON,2013
239,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BLEWAH,0.0,TON,2013
240,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BUNCIS,928.0,TON,2013
241,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CABE BESAR,11144.0,TON,2013
242,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CABE RAWIT,5264.0,TON,2013
243,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,JAMUR,308587.0,TON,2013
244,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KACANG MERAH,850.0,TON,2013
245,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KACANG PANJANG,1164.0,TON,2013
246,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KANGKUNG,53.0,TON,2013
247,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KEMBANG KOL,46.0,TON,2013
248,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KENTANG,14357.0,TON,2013
